PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000000ZSSK,自定义项9
1001ZZ1LCP000000ZSSL,自定义项10
1001ZZ1LCP000000ZSSM,自定义项11
1001ZZ1LCP000000ZSSN,自定义项12
1001ZZ1LCP000000ZSSO,自定义项13
1001ZZ1LCP000000ZSSP,自定义项14
1001ZZ1LCP000000ZSSQ,自定义项15
1001ZZ1LCP000000ZSSR,自定义项16
1001ZZ1LCP000000ZSSS,自定义项17
1001ZZ1LCP000000ZSST,自定义项18
1001ZZ1LCP000000ZSSU,自定义项19
1001ZZ1LCP000000ZSSV,自定义项20
1001ZZ1LCP000000ZSSW,自定义项21
1001ZZ1LCP000000ZSSX,自定义项22
1001ZZ1LCP000000ZSSY,自定义项23
1001ZZ1LCP000000ZSSZ,自定义项24
1001ZZ1LCP000000ZST0,自定义项25
1001ZZ1LCP000000ZST1,自定义项26
1001ZZ1LCP000000ZST2,自定义项27
1001ZZ1LCP000000ZST3,自定义项28
1001ZZ1LCP000000ZST4,自定义项29
1001ZZ1LCP000000ZST5,自定义项30
1001ZZ1LCP000000ZST6,制单时间
1001ZZ1LCP000000ZST7,最后修改时间
1001ZZ1LCP000000ZST8,组织多版本
1001ZZ1LCP000000ZST9,创建人
1001ZZ1LCP000000ZSTA,创建时间
1001ZZ1LCP000000ZSTB,最后修改人
1001ZZ1LCP000000ZSTC,修改时间
1001ZZ1LCP000000ZSTD,行号
1001ZZ1LCP000000ZSTE,主键
1001ZZ1LCP000000ZSTF,集团合同编码
1001ZZ1LCP000000ZSTG,合同编码
1001ZZ1LCP000000ZSTH,所属单位编码
1001ZZ1LCP000000ZSTI,相对方编码
1001ZZ1LCP000000ZSTJ,相对方名称
1001ZZ1LCP000000ZSTK,对方主体地位
1001ZZ1LCP000000ZSTL,我方主体地位
1001ZZ1LCP000000ZSTM,自定义项6
1001ZZ1LCP000000ZSTN,自定义项7
1001ZZ1LCP000000ZSTO,自定义项8
1001ZZ1LCP000000ZSTP,自定义项9
1001ZZ1LCP000000ZSTQ,自定义项10
1001ZZ1LCP000000ZSTR,自定义项11
1001ZZ1LCP000000ZSTS,自定义项12
1001ZZ1LCP000000ZSTT,自定义项13
1001ZZ1LCP000000ZSTU,自定义项14
1001ZZ1LCP000000ZSTV,自定义项15
1001ZZ1LCP000000ZSTW,自定义项16
1001ZZ1LCP000000ZSTX,自定义项17
1001ZZ1LCP000000ZSTY,自定义项18
1001ZZ1LCP000000ZSTZ,自定义项19
1001ZZ1LCP000000ZSU0,自定义项20
1001ZZ1LCP000000ZSU1,相对方类别代码
1001ZZ1LCP000000ZSU2,相对方隶属单位代码
1001ZZ1LCP000000ZSU3,相对方国别
1001ZZ1LCP000000ZSU4,相对方通讯地址
1001ZZ1LCP000000ZSU5,对方纳税人识别号
1001ZZ1LCP000000ZSU6,对方开户行名称
1001ZZ1LCP000000ZSU7,对方开户行账号
1001ZZ1LCP000000ZSU8,我方开户行名称
1001ZZ1LCP000000ZSU9,我方开户银行账号
1001ZZ1LCP000000ZSUA,数据有效性
1001ZZ1LCP000000ZSUB,自定义项1
1001ZZ1LCP000000ZSUC,自定义项2
1001ZZ1LCP000000ZSUD,自定义项3
1001ZZ1LCP000000ZSUE,自定义项4
1001ZZ1LCP000000ZSUF,自定义项5
1001ZZ1LCP000000ZSUG,来源行号
1001ZZ1LCP000000ZSUH,行号
1001ZZ1LCP000000ZSUI,主键
1001ZZ1LCP000000ZSUJ,集团合同编码
1001ZZ1LCP000000ZSUK,合同编码
1001ZZ1LCP000000ZSUL,所属单位编码
1001ZZ1LCP000000ZSUM,相对方编码
1001ZZ1LCP000000ZSUN,相对方名称
1001ZZ1LCP000000ZSUO,对方主体地位
1001ZZ1LCP000000ZSUP,我方主体地位
1001ZZ1LCP000000ZSUQ,自定义项6
1001ZZ1LCP000000ZSUR,自定义项7
1001ZZ1LCP000000ZSUS,自定义项8
1001ZZ1LCP000000ZSUT,自定义项9
1001ZZ1LCP000000ZSUU,自定义项10
1001ZZ1LCP000000ZSUV,自定义项11
1001ZZ1LCP000000ZSUW,自定义项12
1001ZZ1LCP000000ZSUX,自定义项13
1001ZZ1LCP000000ZSUY,自定义项14
1001ZZ1LCP000000ZSUZ,自定义项15
1001ZZ1LCP000000ZSV0,自定义项16
1001ZZ1LCP000000ZSV1,自定义项17
1001ZZ1LCP000000ZSV2,自定义项18
1001ZZ1LCP000000ZSV3,自定义项19
1001ZZ1LCP000000ZSV4,自定义项20
1001ZZ1LCP000000ZSV5,相对方类别代码
1001ZZ1LCP000000ZSV6,相对方隶属单位代码
1001ZZ1LCP000000ZSV7,相对方国别
1001ZZ1LCP000000ZSV8,相对方通讯地址
1001ZZ1LCP000000ZSV9,对方纳税人识别号
1001ZZ1LCP000000ZSVA,对方开户行名称
1001ZZ1LCP000000ZSVB,对方开户行账号
1001ZZ1LCP000000ZSVC,我方开户行名称
1001ZZ1LCP000000ZSVD,我方开户银行账号
1001ZZ1LCP000000ZSVE,数据有效性
1001ZZ1LCP000000ZSVF,自定义项1
1001ZZ1LCP000000ZSVG,自定义项2
