PUB_BILLACTION
pk_billaction,actionnote
1001A11LCP000002268P,保存
1001A11LCP000002268Q,提交
1001A11LCP000002268R,收回
1001A11LCP000002268S,审批
1001A11LCP000002268T,取消审批
