PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP0000022A6M,自定义项12
1001A11LCP0000022A6N,自定义项13
1001A11LCP0000022A6O,自定义项14
1001A11LCP0000022A6P,自定义项15
1001A11LCP0000022A6Q,自定义项16
1001A11LCP0000022A6R,自定义项17
1001A11LCP0000022A6S,自定义项18
1001A11LCP0000022A6T,自定义项19
1001A11LCP0000022A6U,自定义项20
1001A11LCP0000022A6V,来源行号
1001A11LCP0000022A6W,行号
1001A11LCP0000022A6X,主键
1001A11LCP0000022A6Y,集团合同编码
1001A11LCP0000022A6Z,合同编码
1001A11LCP0000022A70,所属单位编码
1001A11LCP0000022A71,相对方编码
1001A11LCP0000022A72,相对方名称
1001A11LCP0000022A73,对方主体地位
1001A11LCP0000022A74,我方主体地位
1001A11LCP0000022A75,相对方类别代码
1001A11LCP0000022A76,相对方隶属单位代码
1001A11LCP0000022A77,相对方国别
1001A11LCP0000022A78,相对方通讯地址
1001A11LCP0000022A79,对方纳税人识别号
1001A11LCP0000022A7A,对方开户行名称
1001A11LCP0000022A7B,对方开户行账号
1001A11LCP0000022A7C,我方开户行名称
1001A11LCP0000022A7D,我方开户银行账号
1001A11LCP0000022A7E,数据有效性
1001A11LCP0000022A7F,自定义项2
1001A11LCP0000022A7G,自定义项3
1001A11LCP0000022A7H,自定义项4
1001A11LCP0000022A7I,自定义项5
1001A11LCP0000022A7J,自定义项6
1001A11LCP0000022A7K,自定义项7
1001A11LCP0000022A7L,自定义项8
1001A11LCP0000022A7M,自定义项9
1001A11LCP0000022A7N,自定义项10
1001A11LCP0000022A7O,自定义项11
1001A11LCP0000022A7P,自定义项12
1001A11LCP0000022A7Q,自定义项13
1001A11LCP0000022A7R,自定义项14
1001A11LCP0000022A7S,自定义项15
1001A11LCP0000022A7T,自定义项16
1001A11LCP0000022A7U,自定义项17
1001A11LCP0000022A7V,自定义项18
1001A11LCP0000022A7W,自定义项19
1001A11LCP0000022A7X,自定义项20
1001A11LCP0000022A7Y,来源行号
1001A11LCP0000022A7Z,主键
1001A11LCP0000022A80,集团合同编码
1001A11LCP0000022A81,合同编码
1001A11LCP0000022A82,项目编码
1001A11LCP0000022A83,项目所属公司
1001A11LCP0000022A84,项目分类
1001A11LCP0000022A85,项目名称
1001A11LCP0000022A86,合同占用项目金额
1001A11LCP0000022A87,立项批复金额
1001A11LCP0000022A88,项目状态
1001A11LCP0000022A89,自定义项1
1001A11LCP0000022A8A,自定义项2
1001A11LCP0000022A8B,自定义项3
1001A11LCP0000022A8C,自定义项4
1001A11LCP0000022A8D,自定义项5
1001A11LCP0000022A8E,自定义项6
1001A11LCP0000022A8F,自定义项7
1001A11LCP0000022A8G,自定义项8
1001A11LCP0000022A8H,自定义项9
1001A11LCP0000022A8I,自定义项10
1001A11LCP0000022A8J,自定义项11
1001A11LCP0000022A8K,自定义项12
1001A11LCP0000022A8L,自定义项13
1001A11LCP0000022A8M,自定义项14
1001A11LCP0000022A8N,自定义项15
1001A11LCP0000022A8O,自定义项16
1001A11LCP0000022A8P,自定义项17
1001A11LCP0000022A8Q,自定义项18
1001A11LCP0000022A8R,自定义项19
1001A11LCP0000022A8S,自定义项20
1001A11LCP0000022A8T,主键
1001A11LCP0000022A8U,集团合同编码
1001A11LCP0000022A8V,合同编码
1001A11LCP0000022A8W,项目编码
1001A11LCP0000022A8X,项目所属公司
1001A11LCP0000022A8Y,项目分类
1001A11LCP0000022A8Z,项目名称
1001A11LCP0000022A90,合同占用项目金额
1001A11LCP0000022A91,立项批复金额
1001A11LCP0000022A92,项目状态
1001A11LCP0000022A93,自定义项1
1001A11LCP0000022A94,自定义项2
1001A11LCP0000022A95,自定义项3
1001A11LCP0000022A96,自定义项4
1001A11LCP0000022A97,自定义项5
1001A11LCP0000022A98,自定义项6
1001A11LCP0000022A99,自定义项7
1001A11LCP0000022A9A,自定义项8
1001A11LCP0000022A9B,自定义项9
1001A11LCP0000022A9C,自定义项10
1001A11LCP0000022A9D,自定义项11
1001A11LCP0000022A9E,自定义项12
1001A11LCP0000022A9F,自定义项13
1001A11LCP0000022A9G,自定义项14
1001A11LCP0000022A9H,自定义项15
1001A11LCP0000022A9I,自定义项16
1001A11LCP0000022A9J,自定义项17
1001A11LCP0000022A9K,自定义项18
1001A11LCP0000022A9L,自定义项19
1001A11LCP0000022A9M,自定义项20
1001A11LCP0000022A9N,主键
1001A11LCP0000022A9O,集团合同编码
1001A11LCP0000022A9P,合同编码
1001A11LCP0000022A9Q,项目编码
1001A11LCP0000022A9R,项目所属公司
1001A11LCP0000022A9S,项目分类
1001A11LCP0000022A9T,项目名称
1001A11LCP0000022A9U,合同占用项目金额
1001A11LCP0000022A9V,立项批复金额
1001A11LCP0000022A9W,项目状态
1001A11LCP0000022A9X,自定义项1
1001A11LCP0000022A9Y,自定义项2
1001A11LCP0000022A9Z,自定义项3
1001A11LCP0000022AA0,自定义项4
1001A11LCP0000022AA1,自定义项5
1001A11LCP0000022AA2,自定义项6
1001A11LCP0000022AA3,自定义项7
1001A11LCP0000022AA4,自定义项8
1001A11LCP0000022AA5,自定义项9
1001A11LCP0000022AA6,自定义项10
1001A11LCP0000022AA7,自定义项11
1001A11LCP0000022AA8,自定义项12
1001A11LCP0000022AA9,自定义项13
1001A11LCP0000022AAA,自定义项14
1001A11LCP0000022AAB,自定义项15
1001A11LCP0000022AAC,自定义项16
1001A11LCP0000022AAD,自定义项17
1001A11LCP0000022AAE,自定义项18
1001A11LCP0000022AAF,自定义项19
1001A11LCP0000022AAG,自定义项20
1001A11LCP0000022AAH,主键
1001A11LCP0000022AAI,集团合同编码
1001A11LCP0000022AAJ,合同编码
1001A11LCP0000022AAK,预算流水号
1001A11LCP0000022AAL,预算所属项目编号
1001A11LCP0000022AAM,项目预算额
1001A11LCP0000022AAN,预算年度
1001A11LCP0000022AAO,自定义项1
1001A11LCP0000022AAP,自定义项2
1001A11LCP0000022AAQ,自定义项3
1001A11LCP0000022AAR,自定义项4
1001A11LCP0000022AAS,自定义项5
1001A11LCP0000022AAT,自定义项6
1001A11LCP0000022AAU,自定义项7
1001A11LCP0000022AAV,自定义项8
1001A11LCP0000022AAW,自定义项9
1001A11LCP0000022AAX,自定义项10
1001A11LCP0000022AAY,自定义项11
1001A11LCP0000022AAZ,自定义项12
1001A11LCP0000022AB0,自定义项13
1001A11LCP0000022AB1,自定义项14
1001A11LCP0000022AB2,自定义项15
1001A11LCP0000022AB3,自定义项16
1001A11LCP0000022AB4,自定义项17
1001A11LCP0000022AB5,自定义项18
1001A11LCP0000022AB6,自定义项19
1001A11LCP0000022AB7,自定义项20
1001A11LCP0000022AB8,主键
1001A11LCP0000022AB9,集团合同编码
1001A11LCP0000022ABA,合同编码
1001A11LCP0000022ABB,预算流水号
1001A11LCP0000022ABC,预算所属项目编号
1001A11LCP0000022ABD,项目预算额
1001A11LCP0000022ABE,预算年度
1001A11LCP0000022ABF,自定义项1
1001A11LCP0000022ABG,自定义项2
1001A11LCP0000022ABH,自定义项3
1001A11LCP0000022ABI,自定义项4
1001A11LCP0000022ABJ,自定义项5
1001A11LCP0000022ABK,自定义项6
1001A11LCP0000022ABL,自定义项7
1001A11LCP0000022ABM,自定义项8
1001A11LCP0000022ABN,自定义项9
1001A11LCP0000022ABO,自定义项10
1001A11LCP0000022ABP,自定义项11
1001A11LCP0000022ABQ,自定义项12
1001A11LCP0000022ABR,自定义项13
1001A11LCP0000022ABS,自定义项14
1001A11LCP0000022ABT,自定义项15
1001A11LCP0000022ABU,自定义项16
1001A11LCP0000022ABV,自定义项17
1001A11LCP0000022ABW,自定义项18
1001A11LCP0000022ABX,自定义项19
1001A11LCP0000022ABY,自定义项20
1001A11LCP0000022ABZ,主键
1001A11LCP0000022AC0,集团合同编码
1001A11LCP0000022AC1,合同编码
1001A11LCP0000022AC2,预算流水号
1001A11LCP0000022AC3,预算所属项目编号
1001A11LCP0000022AC4,项目预算额
1001A11LCP0000022AC5,预算年度
1001A11LCP0000022AC6,自定义项1
1001A11LCP0000022AC7,自定义项2
1001A11LCP0000022AC8,自定义项3
1001A11LCP0000022AC9,自定义项4
1001A11LCP0000022ACA,自定义项5
1001A11LCP0000022ACB,自定义项6
1001A11LCP0000022ACC,自定义项7
1001A11LCP0000022ACD,自定义项8
1001A11LCP0000022ACE,自定义项9
1001A11LCP0000022ACF,自定义项10
1001A11LCP0000022ACG,自定义项11
1001A11LCP0000022ACH,自定义项12
1001A11LCP0000022ACI,自定义项13
1001A11LCP0000022ACJ,自定义项14
1001A11LCP0000022ACK,自定义项15
1001A11LCP0000022ACL,自定义项16
1001A11LCP0000022ACM,自定义项17
1001A11LCP0000022ACN,自定义项18
1001A11LCP0000022ACO,自定义项19
1001A11LCP0000022ACP,自定义项20
1001A11LCP0000022ACQ,自定义项18
1001A11LCP0000022ACR,自定义项19
1001A11LCP0000022ACS,自定义项20
1001A11LCP0000022ACT,主键
1001A11LCP0000022ACU,合同编码
1001A11LCP0000022ACV,相对方编码
1001A11LCP0000022ACW,相对方名称
1001A11LCP0000022ACX,预计收款日期
1001A11LCP0000022ACY,预计收款金额
1001A11LCP0000022ACZ,预计收款币种
1001A11LCP0000022AD0,预计收款按合同币种折算金额
1001A11LCP0000022AD1,预计收款折算比率
1001A11LCP0000022AD2,预计收款节点描述
1001A11LCP0000022AD3,自定义项1
1001A11LCP0000022AD4,自定义项2
1001A11LCP0000022AD5,自定义项3
1001A11LCP0000022AD6,自定义项4
1001A11LCP0000022AD7,自定义项5
1001A11LCP0000022AD8,自定义项6
1001A11LCP0000022AD9,自定义项7
1001A11LCP0000022ADA,自定义项8
1001A11LCP0000022ADB,自定义项9
1001A11LCP0000022ADC,自定义项10
1001A11LCP0000022ADD,自定义项11
1001A11LCP0000022ADE,自定义项12
1001A11LCP0000022ADF,自定义项13
1001A11LCP0000022ADG,自定义项14
1001A11LCP0000022ADH,自定义项15
1001A11LCP0000022ADI,自定义项16
1001A11LCP0000022ADJ,自定义项17
1001A11LCP0000022ADK,自定义项18
1001A11LCP0000022ADL,自定义项19
