PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP000001OVK6,自定义项28
1001AA1LCP000001OVK7,自定义项29
1001AA1LCP000001OVK8,自定义项30
1001AA1LCP000001OVK9,制单时间
1001AA1LCP000001OVKA,最后修改时间
1001AA1LCP000001OVKB,组织多版本
1001AA1LCP000001OVKC,创建人
1001AA1LCP000001OVKD,创建时间
1001AA1LCP000001OVKE,最后修改人
1001AA1LCP000001OVKF,修改时间
1001AA1LCP000001OVKG,行号
1001AA1LCP000001OVKH,主键
1001AA1LCP000001OVKI,集团合同编码
1001AA1LCP000001OVKJ,合同编码
1001AA1LCP000001OVKK,所属单位编码
1001AA1LCP000001OVKL,相对方编码
1001AA1LCP000001OVKM,相对方名称
1001AA1LCP000001OVKN,对方主体地位
1001AA1LCP000001OVKO,我方主体地位
1001AA1LCP000001OVKP,相对方类别代码
1001AA1LCP000001OVKQ,相对方隶属单位代码
1001AA1LCP000001OVKR,相对方国别
1001AA1LCP000001OVKS,相对方通讯地址
1001AA1LCP000001OVKT,对方纳税人识别号
1001AA1LCP000001OVKU,对方开户行名称
1001AA1LCP000001OVKV,对方开户行账号
1001AA1LCP000001OVKW,我方开户行名称
1001AA1LCP000001OVKX,我方开户银行账号
1001AA1LCP000001OVKY,数据有效性
1001AA1LCP000001OVKZ,自定义项1
1001AA1LCP000001OVL0,自定义项2
1001AA1LCP000001OVL1,自定义项3
1001AA1LCP000001OVL2,自定义项4
1001AA1LCP000001OVL3,自定义项5
1001AA1LCP000001OVL4,自定义项6
1001AA1LCP000001OVL5,自定义项7
1001AA1LCP000001OVL6,自定义项8
1001AA1LCP000001OVL7,自定义项9
1001AA1LCP000001OVL8,自定义项10
1001AA1LCP000001OVL9,自定义项11
1001AA1LCP000001OVLA,自定义项12
1001AA1LCP000001OVLB,自定义项13
1001AA1LCP000001OVLC,自定义项14
1001AA1LCP000001OVLD,自定义项15
1001AA1LCP000001OVLE,自定义项16
1001AA1LCP000001OVLF,自定义项17
1001AA1LCP000001OVLG,自定义项18
1001AA1LCP000001OVLH,自定义项19
1001AA1LCP000001OVLI,自定义项20
1001AA1LCP000001OVLJ,自定义项21
1001AA1LCP000001OVLK,自定义项22
1001AA1LCP000001OVLL,自定义项23
1001AA1LCP000001OVLM,自定义项24
1001AA1LCP000001OVLN,自定义项25
1001AA1LCP000001OVLO,自定义项26
1001AA1LCP000001OVLP,自定义项27
1001AA1LCP000001OVLQ,自定义项28
1001AA1LCP000001OVLR,自定义项29
1001AA1LCP000001OVLS,自定义项30
1001AA1LCP000001OVLT,来源行号
1001AA1LCP000001OVLU,行号
1001AA1LCP000001OVLV,主键
1001AA1LCP000001OVLW,集团合同编码
1001AA1LCP000001OVLX,合同编码
1001AA1LCP000001OVLY,所属单位编码
1001AA1LCP000001OVLZ,相对方编码
1001AA1LCP000001OVM0,相对方名称
1001AA1LCP000001OVM1,对方主体地位
1001AA1LCP000001OVM2,我方主体地位
1001AA1LCP000001OVM3,相对方类别代码
1001AA1LCP000001OVM4,相对方隶属单位代码
1001AA1LCP000001OVM5,相对方国别
1001AA1LCP000001OVM6,相对方通讯地址
1001AA1LCP000001OVM7,对方纳税人识别号
1001AA1LCP000001OVM8,对方开户行名称
1001AA1LCP000001OVM9,对方开户行账号
1001AA1LCP000001OVMA,我方开户行名称
1001AA1LCP000001OVMB,我方开户银行账号
1001AA1LCP000001OVMC,数据有效性
1001AA1LCP000001OVMD,自定义项1
1001AA1LCP000001OVME,自定义项2
1001AA1LCP000001OVMF,自定义项3
1001AA1LCP000001OVMG,自定义项4
1001AA1LCP000001OVMH,自定义项5
1001AA1LCP000001OVMI,自定义项6
1001AA1LCP000001OVMJ,自定义项7
1001AA1LCP000001OVMK,自定义项8
1001AA1LCP000001OVML,自定义项9
1001AA1LCP000001OVMM,自定义项10
1001AA1LCP000001OVMN,自定义项11
1001AA1LCP000001OVMO,自定义项12
1001AA1LCP000001OVMP,自定义项13
1001AA1LCP000001OVMQ,自定义项14
1001AA1LCP000001OVMR,自定义项15
1001AA1LCP000001OVMS,自定义项16
1001AA1LCP000001OVMT,自定义项17
1001AA1LCP000001OVMU,自定义项18
1001AA1LCP000001OVMV,自定义项19
1001AA1LCP000001OVMW,自定义项20
1001AA1LCP000001OVMX,自定义项21
1001AA1LCP000001OVMY,自定义项22
1001AA1LCP000001OVMZ,自定义项23
