PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002GR7J,我方开户行名称
1001A11LCP000002GR7K,我方开户银行账号
1001A11LCP000002GR7L,数据有效性
1001A11LCP000002GR7M,自定义项1
1001A11LCP000002GR7N,自定义项2
1001A11LCP000002GR7O,自定义项3
1001A11LCP000002GR7P,自定义项4
1001A11LCP000002GR7Q,自定义项5
1001A11LCP000002GR7R,自定义项6
1001A11LCP000002GR7S,自定义项7
1001A11LCP000002GUAX,自定义项8
1001A11LCP000002GUAY,自定义项9
1001A11LCP000002GUAZ,自定义项10
1001A11LCP000002GUB0,自定义项11
1001A11LCP000002GUB1,自定义项12
1001A11LCP000002GUB2,自定义项13
1001A11LCP000002GUB3,自定义项14
1001A11LCP000002GUB4,自定义项15
1001A11LCP000002GUB5,自定义项16
1001A11LCP000002GUB6,自定义项17
1001A11LCP000002GUB7,自定义项18
1001A11LCP000002GUB8,自定义项19
1001A11LCP000002GUB9,自定义项20
1001A11LCP000002GUBA,来源行号
1001A11LCP000002GUBB,行号
1001A11LCP000002GUBC,主键
1001A11LCP000002GUBD,所属单位编码
1001A11LCP000002GUBE,客户id
1001A11LCP000002GUBF,相对方编码
1001A11LCP000002GUBG,相对方名称
1001A11LCP000002GUBH,对方主体地位
1001A11LCP000002GUBI,我方主体地位
1001A11LCP000002GUBJ,相对方类别代码
1001A11LCP000002GUBK,相对方隶属单位代码
1001A11LCP000002GUBL,相对方国别
1001A11LCP000002GUBM,相对方通讯地址
1001A11LCP000002GUBN,对方纳税人识别号
1001A11LCP000002GUBO,对方开户行名称
1001A11LCP000002GUBP,对方开户行账号
1001A11LCP000002GUBQ,我方开户账号信息
1001A11LCP000002GUBR,我方开户行名称
1001A11LCP000002GUBS,我方开户银行账号
1001A11LCP000002GUBT,数据有效性
1001A11LCP000002GUBU,自定义项1
1001A11LCP000002GUBV,自定义项2
1001A11LCP000002GUBW,自定义项3
1001A11LCP000002GUBX,自定义项4
1001A11LCP000002GUBY,自定义项5
1001A11LCP000002GUBZ,自定义项6
1001A11LCP000002GUC0,自定义项7
1001A11LCP000002GUC1,自定义项8
1001A11LCP000002GUC2,自定义项9
1001A11LCP000002GUC3,自定义项10
1001A11LCP000002GUC4,自定义项11
1001A11LCP000002GUC5,自定义项12
1001A11LCP000002GUC6,自定义项13
1001A11LCP000002GUC7,自定义项14
1001A11LCP000002GUC8,自定义项15
1001A11LCP000002GUC9,自定义项16
1001A11LCP000002GUCA,自定义项17
1001A11LCP000002GUCB,自定义项18
1001A11LCP000002GUCC,自定义项19
1001A11LCP000002GUCD,自定义项20
1001A11LCP000002GUCE,来源行号
1001A11LCP000002GUCF,自定义项15
1001A11LCP000002GUCG,自定义项16
1001A11LCP000002GUCH,自定义项17
1001A11LCP000002GUCI,自定义项18
